2025-04-11T11:37:54.881827218+00:00,82320
2025-04-11T11:38:04.944656153+00:00,82320
2025-04-11T11:38:14.989168308+00:00,82320
2025-04-11T11:38:25.110223418+00:00,82320
2025-04-11T11:38:35.150072821+00:00,82320
2025-04-11T11:55:54.672710895+00:00,82115
2025-04-11T11:56:04.731246143+00:00,82115
2025-04-11T11:56:15.047913012+00:00,82083
2025-04-11T12:17:13.669042186+00:00,82005
2025-04-11T12:17:23.749626644+00:00,82005
2025-04-11T12:17:36.437529129+00:00,82005
2025-04-11T12:29:08.923473341+00:00,82104
2025-04-11T12:29:19.005003837+00:00,82104
2025-04-11T12:35:01.495406186+00:00,82245
2025-04-11T12:35:11.853922313+00:00,82245
2025-04-11T16:09:19.427915585+00:00,82489
2025-04-11T16:09:29.850902095+00:00,82489
2025-04-11T16:52:31.629098388+00:00,82870
2025-04-11T16:52:42.063101099+00:00,82870
2025-04-11T16:52:52.812319554+00:00,82870
2025-04-11T16:53:55.109524381+00:00,82884
2025-04-11T16:54:05.584202679+00:00,82884
2025-04-11T16:54:15.961899615+00:00,82884
