timestamp,value
2025-04-11T12:35:01.811434683+00:00,524.58
2025-04-11T12:35:12.439144789+00:00,524.58
2025-04-11T16:09:19.813505160+00:00,524.58
2025-04-11T16:09:30.121364095+00:00,524.58
2025-04-11T16:52:31.960238340+00:00,524.58
2025-04-11T16:52:42.716618645+00:00,524.58
2025-04-11T16:52:53.149344878+00:00,524.58
2025-04-11T16:53:03.493917333+00:00,524.58
2025-04-11T16:53:13.799633088+00:00,524.58
2025-04-11T16:53:24.152723441+00:00,524.58
2025-04-11T16:53:34.441782170+00:00,524.58
2025-04-11T16:53:44.783665861+00:00,524.58
2025-04-11T16:53:55.540641998+00:00,524.58
2025-04-11T16:54:05.917789550+00:00,524.58
2025-04-11T16:54:16.349423729+00:00,524.58
